category,year,quarter,context_label,n_mentions,sum_amount_usd
Hurricane_Rita1,2016,4,expended,91,46001115.43
Hurricane_Rita1,2016,4,unknown,84,202308618.81
Hurricane_Rita1,2016,4,budget,62,169791919.63
Hurricane_Rita2,2016,4,drawdown,183,2006098030.8200002
Hurricane_Rita2,2016,4,unknown,126,19466033859.95
Hurricane_Rita2,2016,4,expended,84,314968625.22
Hurricane_Rita2,2016,4,budget,81,1181702641.15
Hurricane_Rita2,2016,4,obligated,74,1506407.55
Wildfire_I,2016,4,drawdown,140,95740695.54
Wildfire_I,2016,4,expended,64,13527978.83
Wildfire_I,2016,4,obligated,51,606752.5499999999
Wildfire_I,2016,4,unknown,50,6263997976503.83
Wildfire_I,2016,4,budget,43,63372317.76
Hurricane_Ike,2017,1,drawdown,3718,11602136483.9
Hurricane_Ike,2017,1,expended,2085,1930594284.83
Hurricane_Ike,2017,1,obligated,1847,2510052135.17
Hurricane_Ike,2017,1,budget,1500,6066761952.2699995
Hurricane_Ike,2017,1,unknown,796,14004851024.99
Hurricane_Rita2,2017,1,drawdown,58,964584824.62
Hurricane_Rita2,2017,1,unknown,37,7935006525.41
Hurricane_Rita2,2017,1,expended,20,30416127.290000003
Hurricane_Rita2,2017,1,budget,18,479292870.51
Hurricane_Rita2,2017,1,obligated,15,1713965.12
Wildfire_I,2017,1,drawdown,115,109627808.89
Wildfire_I,2017,1,expended,53,11769466.620000001
Wildfire_I,2017,1,obligated,48,1023242.16
Wildfire_I,2017,1,unknown,41,6263974103112.79
Wildfire_I,2017,1,budget,38,58259440.47
2015_Floods,2017,2,drawdown,25,51079075.95
2015_Floods,2017,2,unknown,21,846989064.39
2015_Floods,2017,2,budget,10,51622437.46
2015_Floods,2017,2,expended,9,127326.77
2015_Floods,2017,2,obligated,6,22935.52
Hurricane_Ike,2017,2,drawdown,3910,8280352539.52
Hurricane_Ike,2017,2,unknown,1478,12726454764312.38
Hurricane_Ike,2017,2,obligated,1271,16240119.629999999
Hurricane_Ike,2017,2,expended,1056,103564798934222.66
Hurricane_Ike,2017,2,budget,753,5553561221.19
Hurricane_Rita2,2017,2,drawdown,21,201286965399.82
Hurricane_Rita2,2017,2,unknown,19,2308595754.94
Hurricane_Rita2,2017,2,expended,7,428767878.88000005
Hurricane_Rita2,2017,2,obligated,4,339.58
Hurricane_Rita2,2017,2,budget,4,429041744.78
Wildfire_I,2017,2,drawdown,116,73887058.04
Wildfire_I,2017,2,obligated,37,7334.38
Wildfire_I,2017,2,expended,37,6561679.89
Wildfire_I,2017,2,budget,30,158247295.74
Wildfire_I,2017,2,unknown,27,6263991356599.8
2015_Floods,2017,3,drawdown,31,53766972.51
2015_Floods,2017,3,unknown,23,821592538.88
2015_Floods,2017,3,expended,8,307518.96
2015_Floods,2017,3,budget,7,75043183.32
2015_Floods,2017,3,obligated,4,13121.07
Hurricane_Ike,2017,3,drawdown,8384,11317159139.94
Hurricane_Ike,2017,3,expended,2861,148922181115029.88
Hurricane_Ike,2017,3,obligated,2646,2585037963.1800003
Hurricane_Ike,2017,3,unknown,1870,9129930921.23
Hurricane_Ike,2017,3,budget,1499,6173468144.4800005
Hurricane_Rita2,2017,3,unknown,36,2321009881.16
Hurricane_Rita2,2017,3,drawdown,25,1719370678.8600001
Hurricane_Rita2,2017,3,budget,11,441285371.67
Hurricane_Rita2,2017,3,expended,9,432319860.61
Hurricane_Rita2,2017,3,obligated,7,12700.0
Wildfire_I,2017,3,drawdown,99,3168730876876.53
Wildfire_I,2017,3,expended,28,6505215.89
Wildfire_I,2017,3,unknown,25,6263964545557.47
Wildfire_I,2017,3,obligated,23,961964.5700000001
Wildfire_I,2017,3,budget,20,143667975.18
2015_Floods,2017,4,drawdown,31,53766972.51
2015_Floods,2017,4,unknown,23,821592538.88
2015_Floods,2017,4,expended,8,307518.96
2015_Floods,2017,4,budget,7,75043183.32
2015_Floods,2017,4,obligated,4,13121.07
Hurricane_Ike,2017,4,drawdown,3355,9494547305.74
Hurricane_Ike,2017,4,expended,1263,84128074404375.77
Hurricane_Ike,2017,4,obligated,1236,2676830557.61
Hurricane_Ike,2017,4,budget,666,5534193274.64
Hurricane_Ike,2017,4,unknown,611,10382255329.74
Hurricane_Rita2,2017,4,unknown,69,3076042840.43
Hurricane_Rita2,2017,4,drawdown,58,1272910128.54
Hurricane_Rita2,2017,4,budget,29,891354695.72
