category,disaster_code,year,quarter,n_documents,page_count,file_size_bytes,n_activity_pages,n_activities,money_sum_amount_usd_budget,money_sum_amount_usd_drawdown,money_sum_amount_usd_expended,money_sum_amount_usd_obligated,money_sum_amount_usd_unknown,entity_CARDINAL,entity_DAMAGE_METRIC,entity_DATE,entity_DISASTER,entity_EVENT,entity_FAC,entity_FEMA_DECLARATION,entity_GPE,entity_LANGUAGE,entity_LAW,entity_LOC,entity_MONEY,entity_NORP,entity_ORDINAL,entity_ORG,entity_PERCENT,entity_PERSON,entity_PRODUCT,entity_PROGRAM,entity_QUANTITY,entity_QUARTER,entity_RAINFALL,entity_TIME,entity_TX_COUNTY,entity_WIND_SPEED,entity_WORK_OF_ART,act_n_unique_activities,act_n_activity_documents,act_n_counties,act_n_cities,act_mean_benef_lmi_percent,act_sum_budget_usd,act_sum_obligated_usd,act_sum_drawdown_usd,act_sum_expended_usd,act_sum_benef_persons_this_period,act_sum_benef_persons_total_actual,act_sum_benef_persons_total_expected,act_sum_benef_households_this_period,act_sum_benef_households_total_actual,act_sum_benef_households_total_expected,act_sum_benef_owner_households_this_period,act_sum_benef_owner_households_total_actual,act_sum_benef_owner_households_total_expected,act_sum_benef_renter_households_this_period,act_sum_benef_renter_households_total_actual,act_sum_benef_renter_households_total_expected,act_sum_benef_jobs_created_this_period,act_sum_benef_jobs_created_total_actual,act_sum_benef_jobs_created_total_expected,act_sum_benef_jobs_retained_this_period,act_sum_benef_jobs_retained_total_actual,act_sum_benef_jobs_retained_total_expected,act_sum_benef_housing_units_this_period,act_sum_benef_housing_units_total_actual,act_sum_benef_housing_units_total_expected,act_n_status_cancelled,act_n_status_completed,act_n_status_under_way,act_n_status_unknown,act_n_type_acquisition_buyout,act_n_type_administration,act_n_type_housing,act_n_type_infrastructure,act_n_type_other,act_n_type_planning,act_n_type_unknown,act_completion_rate,severity_rainfall_inches_max_value,severity_wind_speed_mph_max_value,severity_rainfall_inches_n_mentions,severity_wind_speed_mph_n_mentions
2019_Disasters_Performance,2019-disasters,2024,4,1,98,297033,94,47,69859237.57,501669281.32,1546791776785.52,0.0,971296368.57,149.0,6.0,154.0,23.0,1.0,43.0,3.0,85.0,0.0,8.0,14.0,832.0,2.0,6.0,467.0,15.0,50.0,12.0,61.0,6.0,0.0,4.0,3.0,32.0,1.0,9.0,47.0,1.0,3.0,26.0,,68897574.27,0.0,111090182.21,1546785445433.81,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,47.0,0.0,0.0,1.0,3.0,29.0,13.0,1.0,0.0,0.0,,75.0,4.0,1.0
2019_Disasters_Performance,2019-disasters,2025,1,1,102,335997,98,49,83543805.6,115527537.46,11197832054421.44,1331090.13,194527431.32,157.0,6.0,168.0,27.0,0.0,33.0,3.0,98.0,0.0,7.0,8.0,843.0,3.0,6.0,496.0,11.0,40.0,7.0,70.0,5.0,0.0,4.0,3.0,13.0,1.0,6.0,49.0,1.0,1.0,26.0,,83188068.38,1331090.13,66743578.58,11197822072998.55,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,49.0,0.0,0.0,1.0,4.0,29.0,14.0,1.0,0.0,0.0,,75.0,4.0,1.0
2019_Disasters_Performance,2019-disasters,2025,2,1,108,319137,104,52,164799877.79999998,354525936.40000004,1925933554801.89,0.0,20606034662.13,180.0,6.0,165.0,24.0,1.0,49.0,3.0,92.0,0.0,7.0,12.0,905.0,5.0,4.0,525.0,19.0,43.0,15.0,76.0,5.0,0.0,4.0,3.0,47.0,1.0,9.0,52.0,1.0,4.0,27.0,,161462719.65,0.0,77529776.31,1925915907582.69,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,52.0,0.0,0.0,2.0,3.0,30.0,16.0,1.0,0.0,0.0,,75.0,4.0,1.0
2019_Disasters_Performance,2019-disasters,2025,3,1,128,362642,124,62,150115588.5,656478509.8,8883801836967.09,4674977.31,17672128371.44,174.0,6.0,195.0,26.0,0.0,54.0,3.0,110.0,0.0,17.0,14.0,1066.0,6.0,6.0,607.0,14.0,54.0,6.0,62.0,5.0,0.0,4.0,3.0,43.0,1.0,5.0,62.0,1.0,4.0,39.0,,145776480.1,4674977.31,100387870.69,8883779743004.37,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,61.0,0.0,0.0,1.0,6.0,40.0,13.0,2.0,0.0,0.0,,75.0,4.0,1.0
2019_Disasters_Performance,2019-disastersgrantreport,2023,1,1,57,236321,54,20,135683900.0,626218521.66,146830175.22,710067.86,49834594.79,131.0,8.0,119.0,27.0,0.0,1.0,3.0,32.0,0.0,36.0,4.0,834.0,3.0,5.0,443.0,20.0,136.0,31.0,70.0,7.0,0.0,4.0,3.0,6.0,1.0,1.0,20.0,1.0,1.0,7.0,,135683900.0,710067.86,57944594.39,41389903.27,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,20.0,0.0,0.0,1.0,4.0,0.0,14.0,1.0,0.0,0.0,,75.0,4.0,1.0
2024_Disasters,2024-disasters,2025,4,1,27,1086165,25,12,85568700.0,0.0,0.0,0.0,0.0,74.0,1.0,33.0,11.0,0.0,1.0,2.0,35.0,0.0,3.0,3.0,54.0,4.0,1.0,261.0,7.0,50.0,3.0,41.0,2.0,0.0,4.0,2.0,5.0,4.0,0.0,12.0,1.0,1.0,1.0,,65568700.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,,110.0,4.0,4.0
Expenditure_Reports,cdbg-dr-and-mit-timely-expenditure-report,2020,4,1,1,125629,0,0,0.0,0.0,0.0,0.0,7041488452.0,36.0,0.0,9.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,77.0,0.0,0.0,17.0,27.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure_Reports,cdbg-dr-mit-expenditures-report,2020,2,1,1,124722,0,0,0.0,0.0,0.0,0.0,6980590760.0,24.0,0.0,8.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,69.0,0.0,0.0,21.0,38.0,6.0,0.0,10.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure_Reports,cdbg-dr-mit-expenditures-report,2020,3,1,1,85710,0,0,0.0,0.0,0.0,0.0,6311510451.0,35.0,0.0,9.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,66.0,0.0,0.0,20.0,25.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvey_57M_ActionPlan,hh57m,2020,3,1,22,61099,20,11,260331200.0,43465600.0,0.0,0.0,11155500.0,36.0,0.0,15.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,53.0,1.0,2.0,199.0,8.0,21.0,11.0,0.0,3.0,0.0,3.0,0.0,13.0,1.0,1.0,11.0,1.0,2.0,2.0,,43465600.0,0.0,43465600.0,0.0,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,4.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,,150.0,3.0,1.0
