document_id,filename,category,disaster_code,year,quarter,page_count,file_size_bytes,processed_at,quarter_label,money_max_amount_usd_budget,money_max_amount_usd_drawdown,money_max_amount_usd_expended,money_max_amount_usd_obligated,money_max_amount_usd_unknown,money_n_mentions_budget,money_n_mentions_drawdown,money_n_mentions_expended,money_n_mentions_obligated,money_n_mentions_unknown,money_sum_amount_usd_budget,money_sum_amount_usd_drawdown,money_sum_amount_usd_expended,money_sum_amount_usd_obligated,money_sum_amount_usd_unknown,entity_CARDINAL,entity_DAMAGE_METRIC,entity_DATE,entity_DISASTER,entity_EVENT,entity_FAC,entity_FEMA_DECLARATION,entity_GPE,entity_LANGUAGE,entity_LAW,entity_LOC,entity_MONEY,entity_NORP,entity_ORDINAL,entity_ORG,entity_PERCENT,entity_PERSON,entity_PRODUCT,entity_PROGRAM,entity_QUANTITY,entity_QUARTER,entity_RAINFALL,entity_TIME,entity_TX_COUNTY,entity_WIND_SPEED,entity_WORK_OF_ART,n_activities,n_activity_pages,n_unique_activities
256,ike-2012-q3.pdf,Hurricane_Ike,ike,2012,3,2290,3959748,2026-01-29 19:39:12.552415,Q3 2012,3113475856.0,2181469337.11,768509900.02,3113472856.0,39045100000000.0,2567.0,6799.0,3403.0,3330.0,2655.0,5305318006.62,8398120582.29,2185462116.02,3160312942.24,39049195552453.97,6951.0,40.0,6377.0,931.0,124.0,3192.0,2.0,3178.0,0.0,113.0,470.0,18807.0,93.0,140.0,13233.0,447.0,1526.0,121.0,4.0,1210.0,0.0,486.0,24.0,1395.0,0.0,133.0,1134,2286,1134
313,rita1-2012-q3.pdf,Hurricane_Rita1,rita1,2012,3,17,51375,2026-01-29 19:40:45.265346,Q3 2012,74523000.0,73444250.99,22168050.93,74523000.0,3726150000000.0,21.0,48.0,26.0,23.0,25.0,104906929.58,256080502.19,29892171.09,74524415.0,3726292725937.64,52.0,0.0,57.0,13.0,0.0,4.0,0.0,29.0,0.0,4.0,0.0,145.0,1.0,0.0,136.0,4.0,4.0,2.0,0.0,5.0,0.0,3.0,0.0,11.0,0.0,3.0,7,14,7
335,rita2-2012-q3.pdf,Hurricane_Rita2,rita2,2012,3,46,108893,2026-01-29 19:40:46.627749,Q3 2012,428671849.0,21663498.0,21663498.0,428671849.0,5200000000.0,61.0,116.0,70.0,54.0,81.0,567686431.46,256429105.98,99242055.39,430176593.0,8581229979.05,131.0,6.0,63.0,41.0,10.0,6.0,0.0,39.0,0.0,11.0,5.0,413.0,3.0,1.0,298.0,30.0,24.0,3.0,12.0,6.0,0.0,4.0,1.0,62.0,2.0,2.0,21,42,21
257,ike-2012-q4.pdf,Hurricane_Ike,ike,2012,4,2477,4315236,2026-01-29 19:39:15.789753,Q4 2012,3113475856.0,128882592.13,134063246.2,3113472856.0,1556736428.0,2714.0,7630.0,3718.0,3712.0,3204.0,5997132668.28,4139878267.64,1612226960.2,4071682608.42,3052057543.73,7254.0,53.0,6942.0,1033.0,109.0,3888.0,2.0,3672.0,0.0,158.0,607.0,21049.0,106.0,223.0,14111.0,469.0,1730.0,161.0,4.0,1345.0,0.0,547.0,24.0,1701.0,0.0,185.0,1231,2472,1231
314,rita1-2012-q4.pdf,Hurricane_Rita1,rita1,2012,4,21,61828,2026-01-29 19:40:45.330808,Q4 2012,74523000.0,73444250.99,22129290.42,74523000.0,72632763.99,22.0,51.0,31.0,34.0,36.0,181624823.59,242227957.41,32266823.650000002,74523000.0,290630515.82,71.0,0.0,46.0,27.0,0.0,5.0,1.0,23.0,0.0,4.0,4.0,177.0,0.0,0.0,143.0,9.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,10.0,9,18,9
336,rita2-2012-q4.pdf,Hurricane_Rita2,rita2,2012,4,18,58253,2026-01-29 19:40:46.684954,Q4 2012,428671849.0,428671849.0,6163653.18,428671849.0,2020000000.0,26.0,49.0,22.0,21.0,57.0,717973590.0,523093326.86,14902362.02,428684395.48,2755939339.63,55.0,2.0,25.0,27.0,7.0,3.0,1.0,20.0,0.0,1.0,4.0,198.0,0.0,1.0,152.0,21.0,11.0,1.0,12.0,0.0,0.0,3.0,0.0,6.0,0.0,3.0,7,14,7
258,ike-2013-q1.pdf,Hurricane_Ike,ike,2013,1,2239,3736010,2026-01-29 19:39:18.633618,Q1 2013,3113475856.0,116986851.0,116986851.0,3113472856.0,8076250000000.0,2416.0,6587.0,4257.0,3026.0,1999.0,6064147309.99,4201775053.47,1737170976.64,3146007106.17,8081316633517.16,6558.0,17.0,6260.0,969.0,129.0,3937.0,0.0,3701.0,0.0,72.0,595.0,18341.0,106.0,157.0,10977.0,185.0,1544.0,65.0,0.0,1310.0,0.0,529.0,20.0,1613.0,0.0,172.0,1113,2235,1113
315,rita1-2013-q1.pdf,Hurricane_Rita1,rita1,2013,1,4,30507,2026-01-29 19:40:45.366162,Q1 2013,74523000.0,73444250.99,0.0,74523000.0,39133452.78,3.0,5.0,3.0,2.0,16.0,147894978.95999998,146854990.45999998,0.0,74523000.0,138214232.83,5.0,0.0,5.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,31.0,0.0,0.0,34.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0
337,rita2-2013-q1.pdf,Hurricane_Rita2,rita2,2013,1,23,71559,2026-01-29 19:40:46.756948,Q1 2013,428671849.0,428671849.0,190720147.58,428671849.0,5200000000.0,51.0,51.0,29.0,27.0,83.0,941853507.0,911688977.5500001,232143939.17000002,428672803.0,14429033502.76,67.0,2.0,36.0,40.0,11.0,3.0,1.0,48.0,0.0,17.0,4.0,266.0,1.0,2.0,228.0,23.0,18.0,5.0,34.0,2.0,0.0,4.0,0.0,17.0,0.0,2.0,9,19,9
259,ike-2013-q2.pdf,Hurricane_Ike,ike,2013,2,2653,4388783,2026-01-29 19:39:21.973110,Q2 2013,3113475856.0,3035092474.62,118933857.0,3113472856.0,76410000000000.0,3020.0,7696.0,4870.0,3588.0,2638.0,6416101331.94,8112906411.7699995,1770305735.91,4176809715.15,76415643128933.34,8663.0,50.0,7648.0,1043.0,176.0,4303.0,0.0,5021.0,0.0,131.0,661.0,21863.0,112.0,213.0,13087.0,231.0,2073.0,88.0,4.0,1421.0,0.0,605.0,25.0,1869.0,0.0,180.0,1308,2649,1283
