category,disaster_code,year,quarter,n_documents,programs_total,programs_completed,programs_in_progress,programs_cancelled,program_completion_rate,program_duration_quarters_mean,program_duration_quarters_n_obs,sum_budget_usd,sum_obligated_usd,sum_drawdown_usd,sum_expended_usd,admin_activity_count,admin_activity_budget_usd,admin_activity_obligated_usd,admin_activity_drawdown_usd,admin_activity_expended_usd,outcome_persons_total_actual,outcome_persons_total_expected,outcome_households_total_actual,outcome_households_total_expected,outcome_owner_households_total_actual,outcome_owner_households_total_expected,outcome_renter_households_total_actual,outcome_renter_households_total_expected,outcome_jobs_created_total_actual,outcome_jobs_created_total_expected,outcome_jobs_retained_total_actual,outcome_jobs_retained_total_expected,outcome_housing_units_total_actual,outcome_housing_units_total_expected,severity_rainfall_inches_max,severity_wind_speed_mph_max,sem_signal_count,sem_signal_confidence_mean,admin_staff_count_sum,admin_staff_count_n_obs,admin_staff_count_confidence_mean,admin_payroll_usd_sum,admin_payroll_usd_n_obs,admin_payroll_usd_confidence_mean,affected_population_persons_sum,affected_population_persons_n_obs,affected_population_persons_confidence_mean,affected_population_households_sum,affected_population_households_n_obs,affected_population_households_confidence_mean,severity_deaths_count_sum,severity_deaths_count_n_obs,severity_deaths_count_confidence_mean,severity_economic_loss_usd_sum,severity_economic_loss_usd_n_obs,severity_economic_loss_usd_confidence_mean,severity_property_damage_usd_sum,severity_property_damage_usd_n_obs,severity_property_damage_usd_confidence_mean,severity_unmet_need_usd_sum,severity_unmet_need_usd_n_obs,severity_unmet_need_usd_confidence_mean
2015_Floods,f15,2019,2,1,33.0,0.0,33.0,0.0,0.0,,0.0,29173702.84,462098.99,30547462.89,1068741799567.9299,2.0,3027570.0,4299.0,3027570.0,1068740174298.9999,,,,,,,,,,,,,,,323.0,,8.0,0.84,,,,,,,,,,,,,,,,,,,,,,780803164.0,8.0,0.84
2015_Floods,f15,2019,3,1,29.0,0.0,29.0,0.0,0.0,,0.0,26332390.63,1219332.72,32309739.63,6105911.54,2.0,3027331.0,135984.37,3027331.0,1232055.54,,,,,,,,,,,,,,,323.0,,8.0,0.84,,,,,,,,,,,,,,,,,,,,,,780803164.0,8.0,0.84
2015_Floods,f15,2020,2,1,62.0,0.0,62.0,0.0,0.0,,0.0,51946081.3,3017534.55,391522590539718.2,1515351741290.22,1.0,3000000.0,0.0,3000000.0,1515338110000.0,,,,,,,,,,,,,,,323.0,,8.0,0.84,,,,,,,,,,,,,,,,,,,,,,780803164.0,8.0,0.84
2016_Floods,16f,2019,4,1,66.0,0.0,66.0,0.0,0.0,,0.0,136011404.01,1967652.21,178233467.43,4749949761552.63,3.0,10507439.0,478788.09,6049105.31,2016379.4100000001,,,,,,,,,,,,,,,10.0,,8.0,0.8474999999999999,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,1416625321.0,7.0,0.84
2016_Floods,16f,2020,1,1,57.0,0.0,57.0,0.0,0.0,,0.0,125432295.45,1769251.35,151931926.72,92364954935.18001,3.0,10724302.0,94473.76000000001,6265968.31,2077784.47,,,6.0,93.0,,,,,,,,,,,16.0,,8.0,0.8474999999999999,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,1416625321.0,7.0,0.84
2016_Floods,16f,2020,3,1,63.0,0.0,63.0,0.0,0.0,,0.0,121533963.82,2873315.6999999997,160390340.19,1146224974781.22,4.0,10425073.93,123807.8,10425073.93,4189312.79,,,18.0,93.0,,,,,,,,,,,4.0,,8.0,0.8474999999999999,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,1416625321.0,7.0,0.84
2016_Floods,16f,2020,4,1,58.0,0.0,58.0,0.0,0.0,,0.0,111671051.52,4098751.24,101433944.28,6449140123618.84,1.0,10132350.93,442891.75,10132350.93,2665378.35,,,18.0,93.0,,,,,,,,,,,4.0,,25.0,0.8832000000000001,,,,33266.13,17.0,0.9,,,,,,,29.0,1.0,0.9,,,,,,,1416625321.0,7.0,0.84
2016_Floods,16f,2021,1,1,61.0,0.0,61.0,0.0,0.0,,0.0,120392004.2,4556855.59,84438938.03999999,8576134620854.5,2.0,10132350.93,33149.5,10310740.93,6369684.07,,,19.0,102.0,,,,,,,,,,,3.0,,8.0,0.8474999999999999,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,1416625321.0,7.0,0.84
2016_Floods,16f,2021,2,1,67.0,0.0,67.0,0.0,0.0,,0.0,188255956.36,7389786.93,98860104.27,9457579940209.621,1.0,10132350.93,3601686.56,10132350.93,9938221.13,14245.0,14245.0,22.0,124.0,,,,,,,,,,,4.0,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2021,3,1,73.0,0.0,73.0,0.0,0.0,,0.0,177447170.65,2138837.74,98778068.49,6864297758895.069,3.0,40000.0,50001.990000000005,226853.16,44688.33,14245.0,14245.0,22.0,124.0,,,,,,,,,,,3.0,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2021,4,1,68.0,0.0,68.0,0.0,0.0,,0.0,184033434.18,6716605.83,128014075.5,7633489777340.46,1.0,33981.07,1732.25,1732.25,1732.25,11935.0,11935.0,25.0,147.0,,,,,,,,,,,2022.0,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2022,1,1,72.0,0.0,72.0,0.0,0.0,,0.0,197798343.64,1576.76,144019047.81,3208892203967.44,1.0,40000.0,0.0,16000.0,26000.0,,,,,,,,,,,,,,,,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2022,2,1,74.0,0.0,74.0,0.0,0.0,,0.0,204307948.46,706.03,134761041.96,29689339218859.0,3.0,10212350.93,0.0,10145350.93,9461998.89,,,,,,,,,,,,,,,2016.0,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2022,3,1,64.0,0.0,63.0,1.0,0.0,,0.0,177289570.12,0.0,87786342.56,2624916757759.46,4.0,10350740.93,0.0,10342740.93,9690622.51,,,,,,,,,,,,,,,,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2022,4,1,64.0,0.0,64.0,0.0,0.0,,0.0,160780361.05,7586523.16,137873547.10999998,7854206019593.14,2.0,10186457.28,0.0,10438953.58,9751093.25,,,,,,,,,,,,,,,5.0,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2023,1,1,69.0,0.0,69.0,0.0,0.0,,0.0,195084406.5,0.0,104559577.17,14448978169727.43,4.0,10314083.18,0.0,9491250.94,9491250.94,,,,,,,,,,,,,,,7.0,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2023,2,1,68.0,0.0,68.0,0.0,0.0,,0.0,163168713.3,232928.95,116967521.89999999,21166514882394.09,4.0,10290350.93,0.0,9508490.58,9444490650000.0,,,,,,,,,,,,,,,,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2023,3,1,73.0,10.0,63.0,0.0,0.136986301369863,,0.0,181532337.54,50237.590000000004,116915102.21000001,33180418333062.3,4.0,10323499.42,0.0,9519342.09,9444490642851.51,,,,,,,,,,,,,,,,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2023,4,1,41.0,0.0,41.0,0.0,0.0,,0.0,139153520.9,2567681.78,80456547.03,9837634533247.57,2.0,10246350.93,0.0,45968.93,9478459.51,,,,,,,,,,,,,,,,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2024,1,1,53.0,3.0,50.0,0.0,0.05660377358490566,,0.0,129429089.28,1976.62,87702203.85,21305042443003.75,,,,,,,,,,,,,,,,,,,,,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2024,2,1,38.0,2.0,36.0,0.0,0.05263157894736842,,0.0,139062490.71,13085.369999999999,96996373.03,10098767595235.73,2.0,10246350.93,0.0,14000.0,9464459.51,,,,,,,,,,,,,,,,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2024,3,1,50.0,8.0,42.0,0.0,0.16,,0.0,137702997.12,5010.4,105849780.65,12084582341424.44,1.0,11933601.51,0.0,1701250.58,9464936.53,,,,,,,,,,,,,,,,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2024,4,1,32.0,0.0,31.0,1.0,0.0,,0.0,104385929.09,2594.7700000000004,100422207.32,20779021679758.5,2.0,11944750.0,0.0,9464395.38,9464395380000.0,,,,,,,,,,,,,,,27.0,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
2016_Floods,16f,2025,1,1,34.0,1.0,32.0,1.0,0.029411764705882353,,0.0,129331875.4,2041196.4000000001,93706258.98,28552231356150.91,1.0,11944750.0,0.0,18393.96,9482789340000.0,,,,,,,,,,,,,,,,,7.0,0.8485714285714285,,,,,,,,,,,,,29.0,1.0,0.9,,,,,,,839085203.0,6.0,0.84
