activity_id,document_id,header_page,page_number,measure_raw,measure,canonical_measure,this_period,low_actual,low_expected,mod_actual,mod_expected,total_actual,total_expected,post1,post2,post3,lmi_percent
273:961,273,961,962,Persons,persons,persons,0.0,0,0,465,465,1488,1488,0.0,0.0,31.25,40.6
273:963,273,963,964,Persons,persons,persons,1134.0,0,0,1134,1134,3357,3357,0.0,3357.0,33.78,
273:965,273,965,966,Persons,persons,persons,4.0,0,0,4,4,104,104,0.0,104.0,3.85,
273:967,273,967,968,Persons,persons,persons,298.0,0,0,298,298,653,653,0.0,653.0,45.64,
273:969,273,969,970,Persons,persons,persons,31689.0,0,0,31689,31689,57023,57023,0.0,57023.0,55.57,
273:971,273,971,972,Persons,persons,persons,31689.0,0,0,31689,31689,57023,57023,0.0,57023.0,55.57,972.0
273:973,273,973,974,Persons,persons,persons,48.0,0,0,48,48,119,119,0.0,119.0,40.34,
273:975,273,975,976,Persons,persons,persons,31689.0,0,0,31689,31689,57023,57023,0.0,57023.0,55.57,976.0
273:978,273,978,979,Persons,persons,persons,31689.0,0,0,31689,31689,57023,57023,0.0,57023.0,55.57,
273:980,273,980,981,Persons,persons,persons,31689.0,0,0,31689,31689,57023,57023,0.0,57023.0,55.57,
273:982,273,982,983,Persons,persons,persons,2986.0,0,0,2986,2986,4865,4865,0.0,4865.0,61.38,61.38
273:984,273,984,985,Persons,persons,persons,5372.0,0,0,5372,5372,12035,12035,0.0,12035.0,44.64,
273:986,273,986,987,Persons,persons,persons,5372.0,0,0,5372,5372,12035,12035,0.0,12035.0,44.64,
273:988,273,988,989,Persons,persons,persons,1435.0,0,0,1435,1435,2647,2647,0.0,2647.0,54.21,989.0
273:990,273,990,991,Persons,persons,persons,1435.0,0,0,1435,1435,2647,2647,0.0,2647.0,54.21,54.21
273:992,273,992,993,Persons,persons,persons,5564.0,0,0,5564,5564,8628,8628,0.0,8628.0,64.49,64.49
273:994,273,994,995,Persons,persons,persons,5564.0,0,0,5564,5564,8628,8628,0.0,8628.0,64.49,995.0
273:996,273,996,997,Persons,persons,persons,5564.0,0,0,5564,5564,8628,8628,0.0,8628.0,64.49,64.49
273:998,273,998,999,Persons,persons,persons,5564.0,0,0,5564,5564,8628,8628,0.0,8628.0,64.49,64.49
273:1000,273,1000,1001,Persons,persons,persons,165.0,0,0,165,165,269,269,0.0,269.0,61.34,
273:1002,273,1002,1003,Persons,persons,persons,44.0,0,0,44,44,44,44,0.0,44.0,100.0,
273:1004,273,1004,1005,Persons,persons,persons,25.0,0,0,25,25,33,33,0.0,33.0,75.76,
273:1006,273,1006,1007,Persons,persons,persons,40.0,0,0,40,40,40,40,0.0,40.0,100.0,
273:1008,273,1008,1009,Persons,persons,persons,96.0,0,0,96,96,162,162,0.0,162.0,59.26,1009.0
273:1010,273,1010,1011,Persons,persons,persons,450.0,0,0,450,450,801,801,0.0,801.0,56.18,1011.0
273:1012,273,1012,1013,Persons,persons,persons,883.0,0,0,883,883,1342,1342,0.0,1342.0,65.8,1013.0
273:1014,273,1014,1015,Persons,persons,persons,768.0,0,0,768,768,1299,1299,0.0,1299.0,59.12,1015.0
273:1016,273,1016,1017,Persons,persons,persons,2991.0,0,0,2991,2991,4343,4343,0.0,4343.0,68.87,1017.0
273:1018,273,1018,1019,Persons,persons,persons,8503.0,0,0,8503,8503,15734,15734,0.0,15734.0,54.04,
273:1020,273,1020,1021,Persons,persons,persons,106.0,0,0,106,106,119,119,0.0,119.0,89.08,
273:1022,273,1022,1023,Persons,persons,persons,704.0,0,0,704,704,1399,1399,0.0,1399.0,50.32,
273:1024,273,1024,1025,Persons,persons,persons,353.0,0,0,353,353,678,678,0.0,678.0,52.06,1025.0
273:1026,273,1026,1027,Persons,persons,persons,351.0,0,0,351,351,721,721,0.0,721.0,48.68,1027.0
273:1028,273,1028,1029,Persons,persons,persons,671.0,0,0,671,671,1294,1294,0.0,1294.0,51.85,0.0
273:1030,273,1030,1031,Persons,persons,persons,671.0,0,0,671,671,1294,1294,0.0,1294.0,51.85,0.0
273:1032,273,1032,1033,Persons,persons,persons,1208.0,0,0,1208,1208,2764,2764,0.0,2764.0,43.7,1033.0
273:1035,273,1035,1036,Persons,persons,persons,1208.0,0,0,1208,1208,2763,2763,0.0,2763.0,43.72,1036.0
273:1037,273,1037,1038,Persons,persons,persons,1208.0,0,0,1208,1208,2764,2764,0.0,2764.0,43.7,1038.0
273:1039,273,1039,1040,Persons,persons,persons,0.0,0,0,1014,1014,2103,2103,0.0,0.0,48.22,1040.0
273:1041,273,1041,1042,Persons,persons,persons,1053.0,0,0,1053,1053,2433,2433,0.0,2433.0,43.28,43.26
273:1043,273,1043,1044,Persons,persons,persons,1156.0,0,0,1156,1156,2571,2571,0.0,2571.0,44.96,1044.0
273:1045,273,1045,1046,Persons,persons,persons,1178.0,0,0,1178,1178,2257,2257,0.0,2257.0,52.19,52.19
273:1059,273,1059,1060,Persons,persons,persons,2586.0,0,0,2586,2586,4487,4487,0.0,4487.0,57.63,
273:1061,273,1061,1062,Persons,persons,persons,4.0,0,0,4,4,56,56,0.0,56.0,7.14,1062.0
273:1063,273,1063,1064,Persons,persons,persons,497.0,0,0,497,497,749,749,0.0,749.0,66.36,
273:1065,273,1065,1066,Persons,persons,persons,28.0,0,0,28,28,53,53,0.0,53.0,52.83,
273:1067,273,1067,1068,Persons,persons,persons,2230.0,0,0,2230,2230,4209,4209,0.0,4209.0,52.98,
273:1069,273,1069,1070,Persons,persons,persons,1758.0,0,0,1758,1758,4209,4209,0.0,4209.0,41.77,
273:1071,273,1071,1072,Persons,persons,persons,2048.0,0,0,2048,2048,3848,3848,0.0,3848.0,53.22,1072.0
273:1073,273,1073,1074,Persons,persons,persons,1823.0,0,0,1823,1823,2833,2833,0.0,2833.0,64.35,64.35
273:1075,273,1075,1076,Persons,persons,persons,741.0,0,0,741,741,1352,1352,0.0,1352.0,54.81,
273:1077,273,1077,1078,Persons,persons,persons,12.0,0,0,12,12,20,20,0.0,20.0,60.0,
273:1079,273,1079,1080,Persons,persons,persons,2237.0,0,0,2237,2237,6339,6339,0.0,6339.0,35.29,
273:1082,273,1082,1083,Persons,persons,persons,203.0,0,0,203,203,1476,1476,0.0,1476.0,13.75,
273:1084,273,1084,1085,Persons,persons,persons,203.0,0,0,203,203,1476,1476,0.0,1476.0,13.75,
273:1086,273,1086,1087,Persons,persons,persons,1283.0,0,0,1283,1283,1917,1917,0.0,1917.0,66.93,1087.0
273:1088,273,1088,1089,Persons,persons,persons,1283.0,0,0,1283,1283,1917,1917,0.0,1917.0,66.93,1089.0
273:1090,273,1090,1091,Persons,persons,persons,933.0,0,0,933,933,1986,1986,0.0,1986.0,46.98,
273:1092,273,1092,1093,Persons,persons,persons,605.0,0,0,605,605,1553,1553,0.0,1553.0,38.96,
273:1094,273,1094,1095,Persons,persons,persons,794.0,0,0,794,794,1646,1646,0.0,1646.0,48.24,
