keyword,category,disaster_code,year,quarter,n_pages,n_documents
payroll,Hurricane_Ike,ike,2017,2,50,1
payroll,Hurricane_Ike,ike,2017,3,48,1
payroll,Hurricane_Ike,ike,2017,4,4,1
payroll,Hurricane_Ike,ike,2019,1,225,1
payroll,Hurricane_Ike,ike,2019,3,169,1
payroll,Hurricane_Ike,ike,2019,4,184,1
payroll,Hurricane_Ike,ike,2020,1,126,1
payroll,Hurricane_Ike,ike,2020,2,130,1
payroll,Hurricane_Ike,ike,2020,3,147,1
payroll,Hurricane_Ike,ike,2020,4,140,1
payroll,Hurricane_Ike,ike,2021,1,108,1
payroll,Hurricane_Ike,ike,2021,2,84,1
payroll,Hurricane_Ike,ike,2021,3,82,1
payroll,Hurricane_Ike,ike,2021,4,117,1
payroll,Hurricane_Ike,ike,2022,1,65,1
payroll,Hurricane_Ike,ike,2022,2,66,1
payroll,Hurricane_Ike,ike,2022,3,40,1
payroll,Hurricane_Ike,ike,2022,4,26,1
payroll,Hurricane_Ike,ike,2023,1,34,1
payroll,Hurricane_Rita1,rita1,2016,1,1,1
payroll,Hurricane_Rita2,rita2,2017,2,1,1
payroll,Mitigation_Performance,mit,2021,3,28,1
payroll,Mitigation_Performance,mit,2021,4,27,1
payroll,Mitigation_Performance,mit,2022,1,18,1
payroll,Mitigation_Performance,mit,2022,2,25,1
payroll,Mitigation_Performance,mit,2022,3,24,1
payroll,Mitigation_Performance,mit,2022,4,24,1
payroll,Mitigation_Performance,mit,2023,2,1,1
payroll,Mitigation_Performance,mit,2025,1,1,1
payroll,Mitigation_Performance,mitigationgrantreport,2023,1,29,1
payroll,Wildfire_I,wf1,2016,2,3,1
payroll,Wildfire_I,wf1,2019,1,9,1
payroll,Wildfire_I,wf1,2019,2,1,1
payroll,Wildfire_I,wf1,2019,3,8,1
payroll,Wildfire_I,wf1,2019,4,8,1
payroll,Wildfire_I,wf1,2020,1,8,1
payroll,Wildfire_I,wf1,2020,2,8,1
payroll,Wildfire_I,wf1,2020,3,8,1
payroll,Wildfire_I,wf1,2020,4,8,1
payroll,Wildfire_I,wf1,2021,1,8,1
payroll,Wildfire_I,wf1,2021,3,8,1
payroll,Wildfire_I,wf1,2021,4,8,1
payroll,Wildfire_I,wf1,2022,1,8,1
payroll,Wildfire_I,wf1,2022,2,8,1
payroll,Wildfire_I,wf1,2022,3,8,1
payroll,Wildfire_I,wf1,2022,4,8,1
payroll,Wildfire_I,wf1,2023,1,8,1
fte,2015_Floods,15f,2019,4,2,1
fte,2015_Floods,15f,2020,1,1,1
fte,2015_Floods,15f,2020,3,1,1
fte,2015_Floods,15f,2020,4,1,1
fte,2015_Floods,15f,2021,1,2,1
fte,2015_Floods,15f,2021,2,2,1
fte,2015_Floods,15f,2021,3,1,1
fte,2015_Floods,15f,2021,4,1,1
fte,2015_Floods,15f,2022,1,7,1
fte,2015_Floods,15f,2022,2,1,1
fte,2015_Floods,15f,2022,3,1,1
fte,2015_Floods,f15,2018,2,1,1
fte,2015_Floods,f15,2019,2,1,1
fte,2015_Floods,f15,2019,3,1,1
fte,2015_Floods,f15,2020,2,1,1
fte,2016_Floods,16f,2019,4,3,1
fte,2016_Floods,16f,2020,1,2,1
fte,2016_Floods,16f,2020,3,6,1
fte,2016_Floods,16f,2020,4,6,1
fte,2016_Floods,16f,2021,1,5,1
fte,2016_Floods,16f,2021,2,7,1
fte,2016_Floods,16f,2021,4,1,1
fte,2016_Floods,16f,2022,1,7,1
fte,2016_Floods,16f,2022,2,1,1
fte,2016_Floods,16f,2022,3,2,1
fte,2016_Floods,16f,2022,4,1,1
fte,2016_Floods,16f,2023,2,1,1
fte,2016_Floods,16f,2023,3,1,1
fte,2016_Floods,f16,2019,3,1,1
fte,2016_Floods,f16,2020,2,5,1
fte,2018_Floods_Performance,2018-floods,2023,2,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2021,3,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2021,4,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2022,1,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2022,2,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2022,3,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2022,4,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2023,1,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2023,2,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2023,3,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2023,4,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2024,1,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2024,3,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2024,4,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2025,2,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2025,3,1,1
fte,2019_Disasters_ActionPlan,2019-disasters,2025,4,1,1
fte,2019_Disasters_Performance,2019-disasters,2021,2,1,1
fte,2019_Disasters_Performance,2019-disasters,2021,3,1,1
fte,2019_Disasters_Performance,2019-disasters,2021,4,1,1
fte,2019_Disasters_Performance,2019-disasters,2022,1,1,1
fte,2019_Disasters_Performance,2019-disasters,2022,2,1,1
