category,disaster_code,year,quarter,n_mentions,max_value,metric
2016_Floods,16f,2021,2,4,4.0,rainfall_inches
2016_Floods,16f,2021,3,3,3.0,rainfall_inches
2016_Floods,16f,2021,4,3,2022.0,rainfall_inches
2016_Floods,16f,2022,1,1,,rainfall_inches
2016_Floods,16f,2022,2,2,2016.0,rainfall_inches
2016_Floods,16f,2022,3,1,,rainfall_inches
2016_Floods,16f,2022,4,5,5.0,rainfall_inches
2016_Floods,16f,2023,1,2,7.0,rainfall_inches
2016_Floods,16f,2023,2,1,,rainfall_inches
2016_Floods,16f,2023,3,1,,rainfall_inches
2016_Floods,16f,2023,4,1,,rainfall_inches
2016_Floods,16f,2024,1,1,,rainfall_inches
2016_Floods,16f,2024,2,1,,rainfall_inches
2016_Floods,16f,2024,3,1,,rainfall_inches
2016_Floods,16f,2024,4,11,27.0,rainfall_inches
2016_Floods,16f,2025,1,1,,rainfall_inches
2016_Floods,16f,2025,2,1,,rainfall_inches
2016_Floods,16f,2025,3,1,,rainfall_inches
2016_Floods,f16,2018,2,1,,rainfall_inches
2016_Floods,f16,2018,3,1,,rainfall_inches
2016_Floods,f16,2018,4,1,,rainfall_inches
2016_Floods,f16,2019,1,1,,rainfall_inches
2016_Floods,f16,2019,2,1,,rainfall_inches
2016_Floods,f16,2019,3,1,,rainfall_inches
2016_Floods,f16,2020,2,3,4.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2022,3,3,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2022,4,3,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2023,1,3,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2023,2,3,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2023,3,3,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2023,4,3,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2024,1,10,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2024,2,10,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2024,3,10,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2024,4,10,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2025,1,10,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2025,2,10,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2025,3,10,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-floods,2025,4,11,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-south-texas-floods,2021,3,3,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-south-texas-floods,2021,4,3,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-south-texas-floods,2022,1,3,600.0,rainfall_inches
2018_Floods_ActionPlan,2018-south-texas-floods,2022,2,3,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2021,3,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2021,4,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2022,1,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2022,2,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2022,3,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2022,4,3,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2023,2,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2023,3,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2023,4,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2024,1,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2024,2,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2024,3,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2024,4,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2025,1,2,600.0,rainfall_inches
2018_Floods_Performance,2018-floods,2025,2,2,600.0,rainfall_inches
