category,disaster_code,year,quarter,fema_number,n_mentions,n_documents
2015_Floods,15f,2021,3,4223,1,1
2015_Floods,15f,2021,3,4245,3,1
2015_Floods,15f,2021,3,4272,1,1
2015_Floods,15f,2021,4,4223,1,1
2015_Floods,15f,2021,4,4245,3,1
2015_Floods,15f,2021,4,4272,1,1
2015_Floods,15f,2022,1,4223,1,1
2015_Floods,15f,2022,1,4245,3,1
2015_Floods,15f,2022,1,4272,1,1
2015_Floods,15f,2022,2,4223,1,1
2015_Floods,15f,2022,2,4245,3,1
2015_Floods,15f,2022,2,4272,1,1
2015_Floods,15f,2022,3,4223,1,1
2015_Floods,15f,2022,3,4245,3,1
2015_Floods,15f,2022,3,4272,1,1
2015_Floods,15f,2022,4,4223,1,1
2015_Floods,15f,2022,4,4245,3,1
2015_Floods,15f,2022,4,4272,1,1
2015_Floods,15f,2023,1,4223,1,1
2015_Floods,15f,2023,1,4245,3,1
2015_Floods,15f,2023,1,4272,1,1
2015_Floods,15f,2023,2,4223,1,1
2015_Floods,15f,2023,2,4245,3,1
2015_Floods,15f,2023,2,4272,1,1
2015_Floods,15f,2023,3,4223,1,1
2015_Floods,15f,2023,3,4245,3,1
2015_Floods,15f,2023,3,4272,1,1
2015_Floods,15f,2024,1,4223,1,1
2015_Floods,15f,2024,1,4245,3,1
2015_Floods,15f,2024,1,4272,1,1
2015_Floods,15f,2024,2,4223,1,1
2015_Floods,15f,2024,2,4245,3,1
2015_Floods,15f,2024,2,4272,1,1
2015_Floods,15f,2024,3,4223,1,1
2015_Floods,15f,2024,3,4245,3,1
2015_Floods,15f,2024,3,4272,1,1
2015_Floods,15f,2024,4,4223,1,1
2015_Floods,15f,2024,4,4245,3,1
2015_Floods,15f,2024,4,4272,1,1
2015_Floods,15f,2025,1,4223,1,1
2015_Floods,15f,2025,1,4245,3,1
2015_Floods,15f,2025,1,4272,1,1
2015_Floods,15f,2025,2,4223,1,1
2015_Floods,15f,2025,2,4245,3,1
