Quarter,County,Program Type,Allocated,Activity Count
Q1 2025,Gonzales,Infrastructure,0.0,3
Q1 2025,Gonzales County,Infrastructure,0.0,1
Q1 2025,Grimes,Infrastructure,0.0,2
Q1 2025,Grimes County,Infrastructure,0.0,2
Q1 2025,Jackson,Infrastructure,0.0,2
Q1 2025,Karnes,Infrastructure,0.0,4
Q1 2025,Karnes County,Infrastructure,0.0,1
Q1 2025,Lee,Infrastructure,0.0,2
Q1 2025,Milam,Infrastructure,0.0,4
Q1 2025,Milam County,Infrastructure,0.0,2
Q1 2025,Sabine,Infrastructure,0.0,1
Q1 2025,Tyler,Infrastructure,0.0,3
Q1 2025,Walker,Infrastructure,0.0,2
Q1 2025,Waller County,Infrastructure,0.0,2
Q2 2020,Statewide,Infrastructure,3469216679.28,390
Q2 2020,Aransas County,Infrastructure,23343264.0,3
Q2 2020,FortBend,Infrastructure,17881491.0,4
Q2 2020,Statewide,Housing,14334400.0,11
Q2 2020,SanJacinto,Infrastructure,13963288.0,4
Q2 2020,Montgomery,Infrastructure,12392489.0,3
Q2 2020,Liberty,Infrastructure,11124857.0,5
Q2 2020,Brazoria,Infrastructure,10916934.0,1
Q2 2020,Refugio County,Infrastructure,10294295.0,5
Q2 2020,Fayette,Infrastructure,9549388.75,4
Q2 2020,Jasper,Infrastructure,7806652.0,5
Q2 2020,Newton,Infrastructure,7745843.0,3
Q2 2020,FortBend County,Infrastructure,7630381.0,6
Q2 2020,Nueces County,Infrastructure,4644430.59,2
Q2 2020,Jefferson,Infrastructure,4409005.7700000005,4
Q2 2020,Galveston,Infrastructure,3399435.0,1
Q2 2020,Hardin,Infrastructure,2938238.56,2
Q2 2020,Chambers,Infrastructure,2701783.0,1
Q2 2020,Victoria,Infrastructure,2413521.0,3
Q2 2020,Wharton,Infrastructure,2173864.0,3
Q2 2020,SanPatricio,Infrastructure,2037215.0,1
Q2 2020,Newton County,Infrastructure,1869100.0,4
Q2 2020,Victoria County,Infrastructure,1324296.0,2
Q2 2020,Jefferson County,Infrastructure,765746.8,5
Q2 2020,Liberty County,Infrastructure,539711.0,1
Q2 2020,Montgomery County,Infrastructure,504000.0,1
Q2 2020,Hardin County,Infrastructure,450000.0,2
Q2 2020,Wharton County,Infrastructure,412453.0,5
Q2 2020,Jasper County,Infrastructure,312375.0,1
Q2 2020,Fayette County,Infrastructure,293250.0,1
Q2 2020,Austin,Infrastructure,0.0,5
Q2 2020,Austin County,Infrastructure,0.0,1
Q2 2020,Bastrop,Infrastructure,0.0,3
Q2 2020,Bastrop County,Infrastructure,0.0,1
Q2 2020,Bee County,Infrastructure,0.0,2
Q2 2020,Caldwell,Infrastructure,0.0,3
Q2 2020,Calhoun County,Infrastructure,0.0,2
Q2 2020,Colorado,Infrastructure,0.0,2
Q2 2020,Goliad,Infrastructure,0.0,2
