panel,column,rows,non_null_rows,non_zero_rows,pct_non_null,pct_non_zero
panel_city_quarter_sem,outcome_housing_units_total_actual,35673,0,0,0.0,0.0
panel_city_quarter_sem,outcome_housing_units_total_expected,35673,12,4,0.03,0.01
panel_city_quarter_sem,sem_signal_count,35673,320,320,0.9,0.9
panel_city_quarter_sem,sem_signal_confidence_mean,35673,320,320,0.9,0.9
panel_city_quarter_sem,admin_staff_count_sum,35673,0,0,0.0,0.0
panel_city_quarter_sem,admin_staff_count_n_obs,35673,0,0,0.0,0.0
panel_city_quarter_sem,admin_staff_count_confidence_mean,35673,0,0,0.0,0.0
panel_city_quarter_sem,admin_payroll_usd_sum,35673,314,314,0.88,0.88
panel_city_quarter_sem,admin_payroll_usd_n_obs,35673,314,314,0.88,0.88
panel_city_quarter_sem,admin_payroll_usd_confidence_mean,35673,314,314,0.88,0.88
panel_city_quarter_sem,affected_population_persons_sum,35673,5,5,0.01,0.01
panel_city_quarter_sem,affected_population_persons_n_obs,35673,5,5,0.01,0.01
panel_city_quarter_sem,affected_population_persons_confidence_mean,35673,5,5,0.01,0.01
panel_city_quarter_sem,affected_population_households_sum,35673,0,0,0.0,0.0
panel_city_quarter_sem,affected_population_households_n_obs,35673,0,0,0.0,0.0
panel_city_quarter_sem,affected_population_households_confidence_mean,35673,0,0,0.0,0.0
panel_city_quarter_sem,severity_deaths_count_sum,35673,0,0,0.0,0.0
panel_city_quarter_sem,severity_deaths_count_n_obs,35673,0,0,0.0,0.0
panel_city_quarter_sem,severity_deaths_count_confidence_mean,35673,0,0,0.0,0.0
panel_city_quarter_sem,severity_economic_loss_usd_sum,35673,0,0,0.0,0.0
panel_city_quarter_sem,severity_economic_loss_usd_n_obs,35673,0,0,0.0,0.0
panel_city_quarter_sem,severity_economic_loss_usd_confidence_mean,35673,0,0,0.0,0.0
panel_city_quarter_sem,severity_property_damage_usd_sum,35673,0,0,0.0,0.0
panel_city_quarter_sem,severity_property_damage_usd_n_obs,35673,0,0,0.0,0.0
panel_city_quarter_sem,severity_property_damage_usd_confidence_mean,35673,0,0,0.0,0.0
panel_city_quarter_sem,severity_unmet_need_usd_sum,35673,1,1,0.0,0.0
panel_city_quarter_sem,severity_unmet_need_usd_n_obs,35673,1,1,0.0,0.0
panel_city_quarter_sem,severity_unmet_need_usd_confidence_mean,35673,1,1,0.0,0.0
panel_state_quarter_sem,programs_total,66,66,66,100.0,100.0
panel_state_quarter_sem,programs_completed,66,66,58,100.0,87.88
panel_state_quarter_sem,programs_in_progress,66,66,66,100.0,100.0
panel_state_quarter_sem,programs_cancelled,66,66,37,100.0,56.06
panel_state_quarter_sem,program_completion_rate,66,66,58,100.0,87.88
panel_state_quarter_sem,program_duration_quarters_mean,66,4,4,6.06,6.06
panel_state_quarter_sem,program_duration_quarters_n_obs,66,66,4,100.0,6.06
panel_state_quarter_sem,sum_budget_usd,66,66,66,100.0,100.0
panel_state_quarter_sem,sum_obligated_usd,66,66,62,100.0,93.94
panel_state_quarter_sem,sum_drawdown_usd,66,66,65,100.0,98.48
panel_state_quarter_sem,sum_expended_usd,66,66,65,100.0,98.48
panel_state_quarter_sem,admin_activity_count,66,66,66,100.0,100.0
panel_state_quarter_sem,admin_activity_budget_usd,66,66,66,100.0,100.0
panel_state_quarter_sem,admin_activity_obligated_usd,66,66,48,100.0,72.73
panel_state_quarter_sem,admin_activity_drawdown_usd,66,66,65,100.0,98.48
panel_state_quarter_sem,admin_activity_expended_usd,66,66,65,100.0,98.48
panel_state_quarter_sem,outcome_persons_total_actual,66,25,19,37.88,28.79
panel_state_quarter_sem,outcome_persons_total_expected,66,26,25,39.39,37.88
panel_state_quarter_sem,outcome_households_total_actual,66,27,27,40.91,40.91
panel_state_quarter_sem,outcome_households_total_expected,66,27,27,40.91,40.91
panel_state_quarter_sem,outcome_owner_households_total_actual,66,0,0,0.0,0.0
panel_state_quarter_sem,outcome_owner_households_total_expected,66,3,2,4.55,3.03
panel_state_quarter_sem,outcome_renter_households_total_actual,66,0,0,0.0,0.0
panel_state_quarter_sem,outcome_renter_households_total_expected,66,1,0,1.52,0.0
panel_state_quarter_sem,outcome_jobs_created_total_actual,66,0,0,0.0,0.0
panel_state_quarter_sem,outcome_jobs_created_total_expected,66,1,0,1.52,0.0
panel_state_quarter_sem,outcome_jobs_retained_total_actual,66,0,0,0.0,0.0
panel_state_quarter_sem,outcome_jobs_retained_total_expected,66,0,0,0.0,0.0
panel_state_quarter_sem,outcome_housing_units_total_actual,66,0,0,0.0,0.0
panel_state_quarter_sem,outcome_housing_units_total_expected,66,2,2,3.03,3.03
panel_state_quarter_sem,sem_signal_count,66,60,60,90.91,90.91
panel_state_quarter_sem,sem_signal_confidence_mean,66,60,60,90.91,90.91
panel_state_quarter_sem,admin_staff_count_sum,66,1,1,1.52,1.52
panel_state_quarter_sem,admin_staff_count_n_obs,66,1,1,1.52,1.52
