category,disaster_code,year,quarter,city,county_fips3,county_name,unit_level,unit_id,n_documents,programs_total,programs_completed,programs_in_progress,programs_cancelled,program_completion_rate,program_duration_quarters_mean,program_duration_quarters_n_obs,sum_budget_usd,sum_obligated_usd,sum_drawdown_usd,sum_expended_usd,admin_activity_count,admin_activity_budget_usd,admin_activity_obligated_usd,admin_activity_drawdown_usd,admin_activity_expended_usd,outcome_persons_total_actual,outcome_persons_total_expected,outcome_households_total_actual,outcome_households_total_expected,severity_rainfall_inches_max,severity_wind_speed_mph_max,sem_signal_count,sem_signal_confidence_mean,admin_staff_count_sum,admin_staff_count_n_obs,admin_payroll_usd_sum,admin_payroll_usd_n_obs,affected_population_persons_sum,affected_population_persons_n_obs,affected_population_households_sum,affected_population_households_n_obs,severity_deaths_count_sum,severity_deaths_count_n_obs,severity_unmet_need_usd_sum,severity_unmet_need_usd_n_obs,ratio_disbursed_to_obligated,ratio_expended_to_disbursed,duration_of_completion,timeliness,progress_rate,signal_density,has_admin_staff_signal,has_admin_payroll_signal,has_deaths_signal,has_unmet_need_signal
Hurricane_Ike,ike,2012,1,Pickens Loop And Camp Road - Seven Oaks,201.0,Harris County,city,Hurricane_Ike|ike|Pickens Loop And Camp Road - Seven Oaks|201.0,,1,0.0,1.0,0.0,0.0,,0,43349.0,1443.29,43349.0,34859.03,,,,,,,,,,,,,,,,,,,,,,,,,,30.034850930859356,0.8041484232623589,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Pinkston Water Treatment Plant,201.0,Harris County,city,Hurricane_Ike|ike|Pinkston Water Treatment Plant|201.0,,1,0.0,1.0,0.0,0.0,,0,203065.0,4791.82,202165.0,200852.6,,,,,,,,,,,,,,,,,,,,,,,,,,42.1896064543326,0.9935082729453665,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Pipelines,201.0,Harris County,city,Hurricane_Ike|ike|Pipelines|201.0,,1,0.0,1.0,0.0,0.0,,0,1525290.0,0.0,1524040.0,1524040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Place At Bayside Park,391.0,Refugio County,city,Hurricane_Ike|ike|Place At Bayside Park|391.0,,1,0.0,1.0,0.0,0.0,,0,104300.0,5042.42,102200.0,42249.54,,,,,,,,,,,,,,,,,,,,,,,,,,20.26804589859631,0.41340058708414873,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Plant,201.0,Harris County,city,Hurricane_Ike|ike|Plant|201.0,,1,0.0,1.0,0.0,0.0,,0,220347.0,0.0,220347.0,212582.84,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9647639405120105,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Plant,407.0,San Jacinto County,city,Hurricane_Ike|ike|Plant|407.0,,1,0.0,1.0,0.0,0.0,,0,1215390.0,0.0,1215390.0,720542.51,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5928488057331391,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Plant Centrifuge With Drive System,201.0,Harris County,city,Hurricane_Ike|ike|Plant Centrifuge With Drive System|201.0,,1,0.0,0.0,0.0,0.0,,0,1030000.0,0.0,1030000.0,1030000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Pond Drive,201.0,Harris County,city,Hurricane_Ike|ike|Pond Drive|201.0,,1,0.0,1.0,0.0,0.0,,0,229596.0,1100.48,229596.0,226847.52,,,,,,,,,,,,,,,,,,,,,,,,,,208.63259668508286,0.9880290597397167,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Powell Street,471.0,Walker County,city,Hurricane_Ike|ike|Powell Street|471.0,,1,0.0,1.0,0.0,0.0,,0,378883.0,1538.82,382478.0,316686.44,,,,,,,,,,,,,,,,,,,,,,,,,,248.5527872005823,0.827986027954549,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Power,201.0,Harris County,city,Hurricane_Ike|ike|Power|201.0,,1,0.0,1.0,0.0,0.0,,0,36751.0,3250.0,36751.0,21896.17,,,,,,,,,,,,,,,,,,,,,,,,,,11.308,0.5957979374710892,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Purpose,201.0,Harris County,city,Hurricane_Ike|ike|Purpose|201.0,,4,0.0,4.0,0.0,0.0,,0,1577884.55,20602.04,1288954.69,839596.43,,,,,,,,,,,,,,,,,,,,,,,,,,62.56442031954116,0.6513777687561695,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Rd St,167.0,Galveston County,city,Hurricane_Ike|ike|Rd St|167.0,,1,0.0,1.0,0.0,0.0,,0,439943.7,194623.66,446869.08,274761.33,,,,,,,,,,,,,,,,,,,,,,,,,,2.2960676004140503,0.614858674043861,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Rd Street,201.0,Harris County,city,Hurricane_Ike|ike|Rd Street|201.0,,1,0.0,1.0,0.0,0.0,,0,720887.76,0.0,720681.0,720681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Rdquo For This Purpose,201.0,Harris County,city,Hurricane_Ike|ike|Rdquo For This Purpose|201.0,,1,0.0,1.0,0.0,0.0,,0,115862.0,6882.14,115162.0,62931.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.73345790698823,0.5464562963477536,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Received Release Of Funds For Their Sewer Facilities Project,201.0,Harris County,city,Hurricane_Ike|ike|Received Release Of Funds For Their Sewer Facilities Project|201.0,,1,0.0,1.0,0.0,0.0,,0,26915.24,944.21,15174.76,26915.24,,,,,,,,,,,,,,,,,,,,,,,,,,16.071382425519747,1.7736847238440674,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Reconstruction,201.0,Harris County,city,Hurricane_Ike|ike|Reconstruction|201.0,,1,0.0,1.0,0.0,0.0,,0,111375.03,0.0,110886.0,110886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Red Road,407.0,San Jacinto County,city,Hurricane_Ike|ike|Red Road|407.0,,1,0.0,1.0,0.0,0.0,,0,6884588.0,0.0,6877571.0,850992.51,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12373445653996157,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Removing Sludge At Settling Pond,201.0,Harris County,city,Hurricane_Ike|ike|Removing Sludge At Settling Pond|201.0,,1,0.0,1.0,0.0,0.0,,0,204070.0,0.0,154089.0,61675.84,,,,,,,,,,,,,,,,,,,,,,,,,,,0.400261147778232,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Research Forest Drive Lift Station,201.0,Harris County,city,Hurricane_Ike|ike|Research Forest Drive Lift Station|201.0,,1,0.0,1.0,0.0,0.0,,0,284793.0,0.0,283693.0,191680.62,,,,,,,,,,,,,,,,,,,,,,,,,,,0.675662141822322,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Richmond Wastewater Treatment Plant,157.0,Fort Bend County,city,Hurricane_Ike|ike|Richmond Wastewater Treatment Plant|157.0,,1,0.0,1.0,0.0,0.0,,0,1117238.0,33064.0,1117238.0,109786.99,,,,,,,,,,,,,,,,,,,,,,,,,,33.79016452939753,0.09826643025031373,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Road - Edinburg,201.0,Harris County,city,Hurricane_Ike|ike|Road - Edinburg|201.0,,1,0.0,1.0,0.0,0.0,,0,235805.9,0.0,235505.9,207353.49,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8804598525981727,,,0.0,,False,False,False,False
Hurricane_Ike,ike,2012,1,Roadside Ditches,201.0,Harris County,city,Hurricane_Ike|ike|Roadside Ditches|201.0,,1,0.0,0.0,0.0,0.0,,0,1001730.0,542.19,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,1844.3718991497444,1.0,,,0.0,,False,False,False,False
