Grantee,Ratio_disbursed_to_obligated,Ratio_expended_to_disbursed,Timeliness,Duration_of_completion,Ratio_obligated_funds_fully_expended,Quarter_by_quarter_variance_expended,Duration_log,Spending_CV,Spending_Gini,N_Quarters,Progress_Rate,Spending_Acceleration,Time_to_50pct,Startup_Lag,Completion_Velocity,Government_Type
"Dauphin County, PA",0.9919056387533779,0.9779271101319729,0.013872229918174443,73.5921052631579,0.970190080226478,0.21882802362951348,4.288202019676849,4.1435911603361575,0.9236529526901374,23.0,0.04850075411228006,0.1201671614817898,0.8698924731182796,0.0,0.041568929265159406,local
"Dearborn, MI",0.009204451978057545,0.0,0.16593886462882093,6.026315789473685,0.0,0.0,1.796135843827854,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,local
"Detroit, MI",0.08874395208435194,0.5529058616753911,0.08347062053816584,11.980263157894738,0.04906705129567824,0.42210573108791105,2.4832605588813315,1.795883056720188,0.7105719120826797,4.0,0.01226676282391956,0.3369150593322875,1.0,1.0,0.01635568376522608,local
Empire State Development Corporation (NYS),0.9968127814592683,0.9099188106232702,0.0036189614532987305,276.32236842105266,0.9070187005194912,0.19852107225617527,5.621568185659596,1.5103441785463885,0.6865521584994546,92.0,0.009858898918690122,-0.040987731011629974,0.17391304347826086,0.0,0.009322340836933242,local
Florida,0.4286090274769652,0.9347066684718423,0.02672712276235459,54.05263157894737,0.41373690385030876,0.3042540709909598,3.8311793214199086,1.0086442718525168,0.510188056639026,18.0,0.019744310528386096,-0.006986291385670922,0.8944444444444445,0.3333333333333333,0.020385839842833813,state
"Fort Worth, TX",0.0043022064708779706,1.1621792472000436,0.0832420591456736,12.013157894736842,0.015761737316832905,0.4330127018922193,2.4860025403086374,2.0000000000000004,0.7500000000000001,4.0,0.003940434329208226,0.40000000000000013,1.0,2.0,0.005253912438944301,local
Georgia,0.5120505743773178,0.9334961026219105,0.01870661302661513,55.03947368421053,0.48224602251447957,0.2934397049723913,3.9928803855857375,1.0165226062614976,0.5164743519792271,18.333333333333332,0.026711313033652775,0.07865637082708656,0.8523550724637681,0.0,0.028230869153634607,state
"Hawaii County, HI",0.4839133108833357,0.4889665126109628,0.06695078008390651,26.98026315789474,0.4062500072774982,0.15308646341840035,2.999451579859956,0.6607463508964868,0.3188006490651997,9.0,0.02708333381849988,0.01119628010014176,0.7666666666666666,2.5,0.029017857662678444,local
"Houston, TX",0.5570408758773331,0.962666183758458,0.01892321460276512,67.57236842105263,0.5370534652222716,0.24640320191650764,4.090282486550713,1.4273921416649356,0.5958968776111003,22.5,0.024560639630127584,0.0909027654318556,0.9090909090909092,0.0,0.02545291502184548,local
Illinois,0.9975207596620655,0.5854116717940387,0.01395431963975252,96.1140350877193,0.5832675370582286,0.17346772708497782,4.434468718054321,1.0263492130856162,0.4768825274304877,30.666666666666668,0.014986059858916767,-0.028767019543671207,0.5963341858482524,5.333333333333333,0.015390525307937775,state
Indiana - OCRA,0.9520997388974465,1.0503101294387742,0.008760301999884732,114.15131578947368,1.0000000000000002,0.26093253182685455,4.737524899755395,1.5300064903648214,0.6751891488382166,61.0,0.016393442622950824,-0.04941637354130744,0.19672131147540983,2.0,0.01666666666666667,state
Iowa,0.43212960347234497,0.9664693717696906,0.028279538640880744,39.05263157894737,0.4197014613218315,0.30977319525060804,3.6152635080297326,1.1071035626247592,0.5511230409877819,13.0,0.028863738538862635,0.1507258798535976,0.8529411764705883,0.0,0.031119162105402807,state
